age_at_event mean,Average Net Result mean,Mark mean,Mark min,Mark var,current_match_ranking mean,current_match_ranking min,Average Rank mean,efficiency mean,Nat,Years to Olympics,Olympic Ranking
26,10.26,10.29,10.29,0.0,1.0,1.0,31544.0,1.0,1139.179104,2,9
27,10.25,10.18,10.18,0.0,1.0,1.0,13525.0,1.0,1139.179104,1,9
28,10.51,10.0,10.0,0.0,1.0,1.0,1954.0,0.0,1139.179104,5,9
29,10.15428571,10.09857143,10.01,0.006247619,1.857142857,1.0,7717.142857,0.857142857,1139.179104,4,9
30,10.355,10.19,10.09,0.02,3.5,1.0,18633.0,0.5,1139.179104,3,9
31,10.58,10.18,10.18,0.0,3.0,3.0,13525.0,0.0,1139.179104,2,9
32,10.214,10.174,10.09,0.00308,1.6,1.0,13748.2,1.0,1139.179104,1,9
20,10.26,10.13,10.13,0.0,1.0,1.0,8587.0,1.0,1144.561396,3,9
22,10.31875,10.17875,10.02,0.009926786,3.428571429,1.0,16478.75,0.625,1144.561396,1,9
23,10.345,10.22,10.14,0.0128,1.0,1.0,21673.5,0.5,1144.561396,4,9
21,10.372,10.174,10.07,0.00943,2.0,1.0,15562.4,0.6,1138.013621,4,9
22,10.35571429,10.22,10.11,0.003766667,2.0,1.0,20188.57143,0.571428571,1138.013621,3,9
23,10.35,10.23666667,10.19,0.001733333,1.333333333,1.0,21974.66667,1.0,1138.013621,2,9
24,10.5,10.24833333,10.2,0.001296667,2.0,1.0,23989.16667,0.666666667,1138.013621,1,9
26,10.62,10.18333333,10.13,0.005733333,1.666666667,1.0,15473.66667,0.0,1141.238585,2,9
27,10.29,10.275,10.25,0.00125,3.0,2.0,28823.0,1.0,1141.238585,1,9
28,10.482,10.244,10.21,0.00143,1.75,1.0,23232.4,0.2,1141.238585,4,9
29,10.215,10.235,10.18,0.00605,1.5,1.0,22534.5,0.5,1141.238585,3,9
30,10.49,10.27,10.26,0.0002,3.0,2.0,27485.0,0.5,1141.238585,2,9
21,10.445,10.145,10.05,0.0057,1.5,1.0,11300.75,0.5,1144.561396,1,9
22,10.36272727,10.19272727,10.07,0.006901818,2.090909091,1.0,17518.54545,0.636363636,1144.561396,4,9
24,10.29166667,10.12666667,10.04,0.002426667,2.333333333,1.0,8878.5,0.666666667,1144.561396,2,9
25,10.17,10.016,9.9,0.01163,3.0,1.0,4096.8,0.6,1144.561396,1,9
26,10.24,10.23,10.23,0.0,5.0,5.0,20480.0,1.0,1144.561396,5,9
27,10.2225,10.1575,10.07,0.003558333,3.25,1.0,11945.25,1.0,1144.561396,4,9
28,10.26857143,10.20428571,10.1,0.006728571,3.285714286,1.0,18955.14286,0.857142857,1144.561396,3,9
30,10.32,10.14333333,10.09,0.003733333,3.333333333,1.0,10576.33333,0.666666667,1144.561396,1,9
21,10.5525,10.235,10.18,0.0015,3.25,1.0,21707.0,0.25,1144.561396,1,9
